Date,Price,Open,High,Low
19-Aug-11,4845.65,4859.30,4893.60,4796.10
22-Aug-11,4898.80,4843.70,4910.05,4808.75
23-Aug-11,4948.90,4925.15,4965.80,4863.80
24-Aug-11,4888.90,4934.35,4962.40,4875.30
25-Aug-11,4839.60,4914.65,4915.85,4825.05
26-Aug-11,4747.80,4839.25,4872.00,4720.00
29-Aug-11,4919.60,4806.20,4934.40,4806.05
30-Aug-11,5001.00,4973.25,5016.25,4927.55
2-Sep-11,5040.00,5109.80,5113.70,4993.35
5-Sep-11,5017.20,4998.90,5030.30,4964.45
6-Sep-11,5064.30,4993.35,5072.90,4942.90
7-Sep-11,5124.65,5080.15,5154.50,5076.30
8-Sep-11,5153.25,5139.20,5169.25,5098.25
9-Sep-11,5059.45,5161.30,5163.75,5046.80
12-Sep-11,4946.80,4981.70,4985.60,4911.25
13-Sep-11,4940.95,4977.80,5030.15,4911.05
14-Sep-11,5012.55,4965.05,5026.15,4917.40
15-Sep-11,5075.70,5062.35,5091.45,4967.45
16-Sep-11,5084.25,5123.35,5143.60,5068.10
19-Sep-11,5031.95,5068.40,5068.40,5019.25
20-Sep-11,5140.20,5042.55,5149.90,5035.25
21-Sep-11,5133.25,5153.75,5168.40,5109.85
22-Sep-11,4923.65,5054.45,5059.85,4907.75
23-Sep-11,4867.75,4873.75,4930.25,4829.60
26-Sep-11,4835.40,4878.60,4879.80,4758.85
27-Sep-11,4971.25,4905.15,4982.95,4905.15
28-Sep-11,4945.90,5005.50,5006.05,4918.45
29-Sep-11,5015.45,4924.20,5034.25,4906.00
30-Sep-11,4943.25,4990.15,5025.55,4924.30
3-Oct-11,4849.50,4874.40,4879.15,4823.90
4-Oct-11,4772.15,4823.50,4869.75,4728.30
5-Oct-11,4751.30,4791.30,4827.80,4741.00
7-Oct-11,4888.05,4883.65,4922.60,4861.20
10-Oct-11,4979.60,4886.85,4991.15,4882.05
11-Oct-11,4974.35,5019.90,5045.10,4964.00
12-Oct-11,5099.40,5011.20,5109.80,4997.65
13-Oct-11,5077.85,5130.80,5136.95,5067.65
14-Oct-11,5132.30,5057.35,5141.40,5056.60
17-Oct-11,5118.25,5156.20,5160.20,5084.50
18-Oct-11,5037.50,5049.45,5057.50,5011.05
19-Oct-11,5139.15,5080.45,5148.05,5075.30
20-Oct-11,5091.90,5086.55,5099.00,5033.95
21-Oct-11,5049.95,5106.60,5120.75,5037.95
24-Oct-11,5098.35,5114.70,5145.65,5084.75
25-Oct-11,5191.60,5137.90,5211.00,5085.55
26-Oct-11,5201.80,5214.95,5219.25,5196.15
28-Oct-11,5360.70,5341.90,5399.70,5322.80
31-Oct-11,5326.60,5358.90,5360.25,5314.60
1-Nov-11,5257.95,5278.60,5310.85,5238.30
2-Nov-11,5258.45,5216.75,5300.10,5204.95
3-Nov-11,5265.75,5241.55,5281.60,5201.85
4-Nov-11,5284.20,5325.40,5326.45,5256.80
8-Nov-11,5289.35,5292.25,5304.25,5252.00
9-Nov-11,5221.05,5309.70,5317.50,5211.75
11-Nov-11,5168.85,5159.75,5198.60,5142.25
14-Nov-11,5148.35,5217.35,5228.90,5140.55
15-Nov-11,5068.50,5131.20,5158.75,5052.85
16-Nov-11,5030.45,5059.10,5065.20,4989.50
17-Nov-11,4934.75,5027.10,5036.80,4919.45
18-Nov-11,4905.80,4899.15,4915.90,4837.95
21-Nov-11,4778.35,4873.80,4873.80,4764.80
22-Nov-11,4812.35,4794.85,4854.00,4782.55
23-Nov-11,4706.45,4779.50,4779.50,4640.95
24-Nov-11,4756.45,4707.55,4771.10,4639.10
25-Nov-11,4710.05,4731.30,4767.30,4693.10
28-Nov-11,4851.30,4769.30,4859.10,4766.40
29-Nov-11,4805.10,4864.20,4866.10,4787.10
30-Nov-11,4832.05,4766.15,4851.55,4754.80
1-Dec-11,4936.85,4970.85,5011.90,4916.70
2-Dec-11,5050.15,4940.85,5062.55,4918.40
5-Dec-11,5039.15,5036.50,5055.40,5002.55
7-Dec-11,5062.60,5050.10,5099.25,5032.25
8-Dec-11,4943.65,5037.40,5049.05,4921.45
9-Dec-11,4866.70,4870.75,4918.35,4841.75
12-Dec-11,4764.60,4906.85,4910.25,4755.55
13-Dec-11,4800.60,4733.60,4824.70,4728.50
14-Dec-11,4763.25,4788.70,4839.55,4750.40
15-Dec-11,4746.35,4712.80,4768.65,4673.85
16-Dec-11,4651.60,4752.50,4818.85,4628.20
19-Dec-11,4613.10,4623.15,4623.15,4555.90
20-Dec-11,4544.20,4635.80,4637.25,4531.15
21-Dec-11,4693.15,4636.45,4707.35,4601.95
22-Dec-11,4733.85,4636.90,4740.60,4632.95
23-Dec-11,4714.00,4763.20,4763.45,4693.20
26-Dec-11,4779.00,4718.15,4787.25,4718.15
27-Dec-11,4750.50,4780.20,4800.50,4723.65
28-Dec-11,4705.80,4756.20,4756.20,4685.65
29-Dec-11,4646.25,4681.15,4701.80,4639.05
30-Dec-11,4624.30,4659.95,4690.45,4608.90
2-Jan-12,4636.75,4640.20,4645.95,4588.05
3-Jan-12,4765.30,4675.80,4773.10,4675.80
4-Jan-12,4749.65,4774.95,4782.85,4728.85
5-Jan-12,4749.95,4749.00,4779.80,4730.15
6-Jan-12,4754.10,4724.15,4794.90,4686.85
7-Jan-12,4746.90,4755.60,4759.40,4743.05
9-Jan-12,4742.80,4747.55,4758.70,4695.45
10-Jan-12,4849.55,4771.85,4855.90,4768.25
11-Jan-12,4860.95,4863.15,4877.20,4841.60
12-Jan-12,4831.25,4840.95,4869.20,4803.90
13-Jan-12,4866.00,4861.95,4898.85,4834.20
16-Jan-12,4873.90,4844.00,4880.80,4827.05
17-Jan-12,4967.30,4904.50,4975.55,4904.00
18-Jan-12,4955.80,4977.75,4980.65,4931.05
19-Jan-12,5018.40,4995.00,5023.80,4991.40
20-Jan-12,5048.60,5044.85,5064.15,5004.30
23-Jan-12,5046.25,5025.35,5059.55,5021.35
24-Jan-12,5127.35,5064.80,5141.05,5049.80
25-Jan-12,5158.30,5151.50,5174.15,5130.25
27-Jan-12,5204.70,5216.75,5217.00,5162.40
30-Jan-12,5087.30,5163.55,5166.15,5076.70
31-Jan-12,5199.25,5125.25,5215.40,5120.15
1-Feb-12,5235.70,5198.15,5244.60,5159.00
2-Feb-12,5269.90,5272.10,5289.95,5225.75
3-Feb-12,5325.85,5276.10,5334.85,5255.55
6-Feb-12,5361.65,5379.45,5390.05,5327.25
7-Feb-12,5335.15,5412.95,5413.35,5322.95
8-Feb-12,5368.15,5343.80,5396.90,5325.20
9-Feb-12,5412.35,5343.05,5423.40,5338.90
10-Feb-12,5381.60,5399.80,5427.75,5341.05
13-Feb-12,5390.20,5382.10,5421.05,5351.40
14-Feb-12,5416.05,5380.80,5428.05,5377.95
15-Feb-12,5531.95,5460.60,5542.10,5460.60
16-Feb-12,5521.95,5513.75,5531.40,5483.75
17-Feb-12,5564.30,5574.20,5606.70,5545.20
21-Feb-12,5607.15,5561.90,5621.50,5561.75
22-Feb-12,5505.35,5609.75,5629.95,5491.35
23-Feb-12,5483.30,5490.05,5537.40,5460.80
24-Feb-12,5429.30,5479.15,5521.40,5405.90
27-Feb-12,5281.20,5448.10,5449.80,5268.15
28-Feb-12,5375.50,5310.50,5391.10,5306.45
29-Feb-12,5385.20,5424.95,5458.80,5352.25
1-Mar-12,5339.75,5366.00,5372.45,5297.50
2-Mar-12,5359.35,5369.45,5392.55,5315.05
